relation,head,tail
参与,吴晓军,中国共产党青海省第十四次代表大会主席团举行第五次会议
参与,王东明,全国工会学习贯彻中国共产党第二十次全国代表大会精神会议
参与,刘健,中国共产党上海市金山区第六届纪律检查委员会第三次全体会议
参与,汪洋,中国共产党全国台湾省籍党员代表会议
参与,人民日报社副总编辑方江山,中国共产党人的精神谱系研究与传播座谈会
参与,天津大学中国共产党人的精神谱系研究中心主任颜晓峰,中国共产党人的精神谱系研究与传播座谈会
参与,著名党史专家邵维正,中国共产党人的精神谱系研究与传播座谈会
参与,焦裕禄女儿焦守云,中国共产党人的精神谱系研究与传播座谈会
参与,于敏儿子于辛,中国共产党人的精神谱系研究与传播座谈会
参与,中国邮政报刊发行局局长曹建申,中国共产党人的精神谱系研究与传播座谈会
参与,中国书法大厦艺委会主任李士杰,中国共产党人的精神谱系研究与传播座谈会
参与,中国楹联学会会长李培隽,中国共产党人的精神谱系研究与传播座谈会
参与,习近平,中国共产党第二十次全国代表大会举行预备会议
参与, 省委书记、省人大常委会主任倪岳峰,中国共产党河北省第十届纪律检查委员会第三次全体会议
参与,区委常委会主持，区委书记樊木,中国共产党三亚市崖州区第三届委员会第五次全体会议
参与, 郭业洲,第三届“中国共产党与世界”国际学术会议
参与, 沃尔特·索伦蒂诺,第三届“中国共产党与世界”国际学术会议
参与,吴付来,第三届“中国共产党与世界”国际学术会议
参与,杜鹏,第三届“中国共产党与世界”国际学术会议
参与,自治区党委常委、秘书长、直属机关工委书记丁绣峰,中国共产党内蒙古自治区直属机关代表会议
参与,王晓晖,中国共产党四川省第十二次代表大会预备会议
参与,姜冬冬,中国共产党上海市普陀区第十一届委员会第五次全体会议
参与,肖文高,中国共产党上海市普陀区第十一届委员会第五次全体会议
参与,辽宁省委常委、沈阳市委书记王新伟,中国共产党沈阳市第十四次代表大会预备会议
参与,会议由市委副书记刘晓东,中国共产党沈阳市第十四次代表大会预备会议
参与,丁薛祥,中国共产党中央和国家机关代表会议
参与,魏树旺,中国共产党遵义市第六届委员会第二次全体会议
参与,县委书记梁铮,中国共产党金沙县第十三届委员会第四次全体会议
参与,许勤,中国共产党黑龙江省第十三届委员会第一次全体会议
参与,大会秘书长罗文,中国共产党四川省第十二次代表大会主席团举行第一次会议
参与,王晓晖,中国共产党四川省第十二次代表大会主席团举行第一次会议
参与,中央委员会总书记习近平,中国共产党第十九届中央委员会第七次全体会议
参与,李克强,中国共产党第十九届中央委员会第七次全体会议
参与,栗战书,中国共产党第十九届中央委员会第七次全体会议
参与,汪洋,中国共产党第十九届中央委员会第七次全体会议
参与,王沪宁,中国共产党第十九届中央委员会第七次全体会议
参与,赵乐际,中国共产党第十九届中央委员会第七次全体会议
参与,韩正,中国共产党第十九届中央委员会第七次全体会议
参与,中央委员会总书记习近平,中国共产党第十九届中央委员会第七次全体会议
参与,王沪宁,中国共产党第十九届中央委员会第七次全体会议
参与,贺敬平,中国共产党万宁市第十四次代表大会举行预备会议
参与,王三防,中国共产党万宁市第十四次代表大会举行预备会议
参与,李姣,中国共产党万宁市第十四次代表大会举行预备会议
参与,杨庆友,中国共产党万宁市第十四次代表大会举行预备会议
参与,侯晋封,中国共产党万宁市第十四次代表大会举行预备会议
参与,周旭,中国共产党万宁市第十四次代表大会举行预备会议
参与,王志恺,中国共产党万宁市第十四次代表大会举行预备会议
参与,敖林水,中国共产党万宁市第十四次代表大会举行预备会议
参与,杨志斌,中国共产党万宁市第十四次代表大会举行预备会议
参与,林靖,中国共产党万宁市第十四次代表大会举行预备会议
参与,张泽,中国共产党万宁市第十四次代表大会举行预备会议
参与,中国人寿集团党委书记、董事长白涛,中国共产党中国人寿保险（集团）公司代表会议
参与,中国共产党南明区直属机关工作委员会代表会议,区委常委、区委办主任、区直机关工委书记陈本云
参与,汤辉,中国共产党西秀区第六次代表大会举行主席团第一次会议
参与,訚柏,中国共产党青海省第十四次代表大会主席团举行第三次会议
参与,三亚市政府副市长、天涯区委书记黄兴武,中国共产党三亚市天涯区第三届委员会第四次全体会议
参与,陈杰,中国共产党上海市宝山区第八次代表大会预备会议
参与,王君正,中国共产党西藏自治区第十届委员会第三次全体会议
参与,王东峰,中国共产党河北省第十届委员会举行第一次全体会议
参与,自治区党委常委会主持，自治区党委书记王君正,中国共产党西藏自治区第九届委员会第十一次全体会议
参与,姜冬冬,中国共产党上海市普陀区第十一次代表大会预备会议
发生于,中国共产党青海省第十四次代表大会主席团举行第五次会议,5月25日下午
发生于,中国共产党三亚市吉阳区第三届委员会第四次全体会议,10月30日
发生于,全国工会学习贯彻中国共产党第二十次全国代表大会精神会议,10月24日
发生于,中国共产党上海市金山区第六届纪律检查委员会第三次全体会议,1月31日下午
发生于,中国共产党通辽市第六届委员会第四次全体会议暨全市经济工作会议,2022年12月25日
发生于,第三届全国人民代表大会第一次会议,1964年
发生于,中国共产党人的精神谱系研究与传播座谈会,12月8日
发生于,中国共产党第二十次全国代表大会举行预备会议,10月15日
发生于,中国共产党上海市虹口区第十一届委员会第七次全体会议,12月28日下午
发生于,中国共产党河北省第十届纪律检查委员会第三次全体会议,2023年1月17日
发生于,中国共产党三亚市崖州区第三届委员会第五次全体会议,2月25日
发生于,第三届“中国共产党与世界”国际学术会议,11月25-26日
发生于,中国共产党国际形象传播创新对话会,4月23日
发生于,中国共产党内蒙古自治区直属机关代表会议,11月20日
发生于,党组理论学习中心组集体学习暨部直属机关学习大讲堂,5月16日
发生于,中国共产党四川省第十二次代表大会预备会议,5月26日下午
发生于,越南共产党第十三届中央委员会召开干部工作会议,8月3日
发生于,中国共产党三亚市崖州区第三届委员会第四次全体会议,10月30日
发生于,中国共产党上海市普陀区第十一届委员会第五次全体会议,2022年12月29日
发生于,中国共产党沈阳市第十四次代表大会预备会议,11月3日
发生于,中国共产党中央和国家机关代表会议,7月17日至19日
发生于,中国共产党遵义市第六届委员会第二次全体会议,2月17日
发生于,中国共产党金沙县第十三届委员会第四次全体会议,2022年1月4日
发生于,中国共产党黑龙江省第十三届委员会第一次全体会议,5月2日下午
发生于,中国共产党四川省第十二次代表大会主席团举行第一次会议,5月26日下午
